"MEASURE - Number of ships"

,YEAR,"1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"ECONOMY","SHIP TYPE",
"Individual economies","Total fleet","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"Individual economies","Oil tankers","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"Individual economies","Bulk carriers","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"Individual economies","General cargo","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"Individual economies","Container ships","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"Individual economies","Other types of ships","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"M49 developing regions","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",6713,7337,7864,8367,8672,8898,9068,9280,9565
"M49 developing regions","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",14201,13473,13480,13106,13048,13259,13363,13153,13127
"M49 developing regions","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",3776,3824,3905,3979,3946,4005,3892,3853,3959
"M49 developing regions","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",22315,24280,25171,26272,27365,28189,29186,29549,31431
"M49 developed regions","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",28171,28672,28789,28398,28608,28759,29003,29388,29011
"M49 developed regions","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",3539,2743,2754,2693,2740,2747,2773,2831,2730
"M49 developed regions","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1505,1652,1696,1786,1824,1844,1821,1835,1804
"M49 developed regions","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",6526,6472,6459,6191,6024,5982,5958,5975,5487
"M49 developed regions","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1187,1266,1199,1118,1154,1210,1255,1292,1306
"M49 developed regions","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",15414,16539,16681,16610,16866,16976,17196,17455,17684
"LDCs (Least developed countries)","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",6050,6080,6274,6417,6420,6476,6461,6552,6760
"LDCs (Least developed countries)","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1005,932,1001,1055,1084,1101,1124,1117,1194
"LDCs (Least developed countries)","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",770,860,943,988,1024,1059,1110,1216,1291
"LDCs (Least developed countries)","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1708,1600,1604,1590,1538,1544,1461,1488,1480
"LDCs (Least developed countries)","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",990,1011,1027,989,941,946,898,867,893
"LDCs (Least developed countries)","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1577,1677,1699,1795,1833,1826,1868,1864,1902
"    LDCs: Africa and Haiti","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",3772,3948,4154,4316,4358,4454,4645,4706,5016
"    LDCs: Africa and Haiti","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",799,772,840,884,878,878,907,891,966
"    LDCs: Africa and Haiti","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",638,750,839,872,922,971,1032,1121,1200
"    LDCs: Africa and Haiti","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",614,631,654,711,744,764,868,864,919
"    LDCs: Africa and Haiti","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",966,992,1013,976,929,930,884,857,877
"    LDCs: Africa and Haiti","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",755,803,808,873,885,911,954,973,1054
"    LDCs: Asia","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1228,1124,1108,1089,1033,1035,806,820,774
"    LDCs: Asia","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",106,90,89,101,133,156,151,156,165
"    LDCs: Asia","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",56,46,46,55,49,39,30,34,37
"    LDCs: Asia","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",816,728,717,677,591,573,374,382,316
"    LDCs: Asia","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",15,14,9,6,7,10,8,6,7
"    LDCs: Asia","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",235,246,247,250,253,257,243,242,249
"    LDCs: Islands","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1050,1008,1012,1012,1029,987,1010,1026,970
"    LDCs: Islands","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",100,70,72,70,73,67,66,70,63
"    LDCs: Islands","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",76,64,58,61,53,49,48,61,54
"    LDCs: Islands","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",278,241,233,202,203,207,219,242,245
"    LDCs: Islands","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",9,5,5,7,5,6,6,4,9
"    LDCs: Islands","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",587,628,644,672,695,658,671,649,599
"LDCs: Africa","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",3769,3944,4150,4312,4354,4450,4641,4702,5012
"LDCs: Africa","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",799,772,840,884,878,878,907,891,966
"LDCs: Africa","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",638,750,839,872,922,971,1032,1121,1200
"LDCs: Africa","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",611,628,651,708,741,761,865,861,916
"LDCs: Africa","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",966,992,1013,976,929,930,884,857,877
"LDCs: Africa","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",755,802,807,872,884,910,953,972,1053
"LDCs: Islands and Haiti","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1053,1012,1016,1016,1033,991,1014,1030,974
"LDCs: Islands and Haiti","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",100,70,72,70,73,67,66,70,63
"LDCs: Islands and Haiti","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",76,64,58,61,53,49,48,61,54
"LDCs: Islands and Haiti","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",281,244,236,205,206,210,222,245,248
"LDCs: Islands and Haiti","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",9,5,5,7,5,6,6,4,9
"LDCs: Islands and Haiti","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",587,629,645,673,696,659,672,650,600
"LLDCs (Landlocked developing countries)","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",952,929,956,1032,1089,1091,1074,1064,1075
"LLDCs (Landlocked developing countries)","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",119,117,124,153,164,154,146,152,150
"LLDCs (Landlocked developing countries)","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",36,21,15,11,10,10,12,7,6
"LLDCs (Landlocked developing countries)","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",343,324,324,374,376,371,354,349,308
"LLDCs (Landlocked developing countries)","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",9,6,8,7,8,9,7,9,10
"LLDCs (Landlocked developing countries)","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",445,461,485,487,531,547,555,547,601
"SIDS (Small island developing States) (UNCTAD)","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",7351,7498,7660,7624,7878,8262,8547,8548,8622
"SIDS (Small island developing States) (UNCTAD)","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1064,917,937,968,1102,1208,1285,1316,1356
"SIDS (Small island developing States) (UNCTAD)","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1078,1156,1254,1326,1432,1587,1749,1911,2014
"SIDS (Small island developing States) (UNCTAD)","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1939,1863,1834,1641,1576,1591,1592,1450,1441
"SIDS (Small island developing States) (UNCTAD)","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",729,757,737,714,695,664,590,526,504
"SIDS (Small island developing States) (UNCTAD)","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",2541,2805,2898,2975,3073,3212,3331,3345,3307
"High-income developing economies","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",30568,31154,31912,32075,32522,33094,33471,33518,34729
"High-income developing economies","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",3969,3290,3377,3473,3616,3723,3855,3909,4208
"High-income developing economies","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",5043,5488,5824,6149,6292,6313,6250,6185,6283
"High-income developing economies","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",6273,5814,5782,5378,5237,5282,5272,5136,5163
"High-income developing economies","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",2261,2344,2344,2426,2415,2448,2378,2348,2407
"High-income developing economies","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",13022,14218,14585,14649,14962,15328,15716,15940,16668
"Middle-income developing economies","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",18723,18963,19698,21008,22201,23050,23879,24248,25403
"Middle-income developing economies","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",2080,1830,1861,1968,2212,2323,2434,2527,2622
"Middle-income developing economies","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1015,1087,1195,1342,1453,1606,1777,1965,2066
"Middle-income developing economies","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",6965,6727,6751,6781,6832,6961,6945,6886,6773
"Middle-income developing economies","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",542,479,544,576,600,625,626,643,669
"Middle-income developing economies","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",8121,8840,9347,10341,11104,11535,12097,12227,13273
"Low-income developing economies","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",3999,4160,4358,4484,4511,4603,4815,4895,5190
"Low-income developing economies","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",829,792,859,902,895,898,930,917,994
"Low-income developing economies","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",644,755,842,875,925,974,1038,1129,1209
"Low-income developing economies","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",809,822,842,876,903,924,1041,1046,1091
"Low-income developing economies","Container ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",968,994,1015,977,931,932,888,862,882
"Low-income developing economies","Other types of ships","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",749,797,800,854,857,875,918,941,1014
"Low-income economies (World Bank)","Total fleet","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",4399,4488,4669,4716,4737,4832,5057,5155,5472
"Low-income economies (World Bank)","Oil tankers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",852,811,880,923,921,922,956,946,1022
"Low-income economies (World Bank)","Bulk carriers","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",663,770,847,880,929,982,1042,1136,1217
"Low-income economies (World Bank)","General cargo","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",1020,981,992,959,982,1009,1136,1157,1212
